"Accession"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"	"F16"	"F17"	"F18"	"F19"	"F20"	"F21"	"F22"	"F23"	"F24"	"F25"	"F26"	"F27"	"F28"	"F29"	"F30"	"F31"	"F32"	"F33"	"F34"	"F35"	"F36"	"F37"	"F38"	"F39"	"F40"	"F41"	"F42"	"F43"	"F44"	"F45"	"F46"	"F47"	"F48"	"F49"	"F50"	"F51"	"F52"	"F53"	"F54"	"F55"	"F56"	"F57"	"F58"	"F59"	"F60"	"F61"	"F62"	"F63"	"F64"	"F65"	"F66"	"F67"	"F68"	"F69"	"F70"	"F71"	"F72"	"F73"	"F74"	"F75"	"F76"	"F77"	"F78"	"F79"	"F80"	"F81"	"F82"	"F83"	"F84"	"F85"	"F86"	"F87"	"F88"	"F89"	"F90"	"F91"	"F92"	"F93"	"F94"	"F95"	"F96"	"F97"	"F98"	"F99"	"F100"	"F101"	"F102"	"F103"	"F104"	"F105"	"F106"	"F107"	"F108"	"F109"	"F110"	"F111"	"F112"	"F113"	"F114"	"F115"	"F116"	"F117"	"F118"	"F119"	"F120"	"F121"	"F122"	"F123"	"F124"	"F125"	"F126"	"F127"	"F128"	"F129"	"F130"	"F131"	"F132"	"F133"	"F134"	"F135"	"F136"	"F137"	"F138"	"F139"	"F140"	"F141"	"F142"	"F143"	"F144"	"F145"	"F146"	"F147"	"F148"	"F149"	"F150"	"F151"	"F152"	"F153"	"F154"	"F155"	"F156"	"F157"	"F158"	"F159"	"F160"	"F161"	"F162"	"F163"	"F164"	"F165"	"F166"	"F167"	"F168"	"F169"	"F170"	"F171"	"F172"	"F173"	"F174"	"F175"	"F176"	"F177"	"F178"	"F179"	"F180"	"F181"	"F182"	"F183"	"F184"	"F185"	"F186"	"F187"	"F188"	"F189"	"F190"	"F191"	"F192"	"F193"	"F194"	"F195"	"F196"	"F197"	"F198"	"F199"	"F200"
"P04745"	NA	NA	NA	NA	11021.9565327962	19654.7827262878	3289360.5660964	NA	NA	NA	NA	NA	14047215.7931169	NA	2362661.38344382	NA	NA	318147.625628106	NA	591019.050245962	NA	426317.911221402	20094703.0156931	14516337.5756963	NA	13588562.3275687	NA	NA	NA	4150370.16180881	NA	17113005.5031982	17215284.9422573	17127254.9101504	13754399.7888036	NA	3351726.15872816	5271071.15974455	NA	NA	8961320.40962121	NA	19995049.1057771	15534851.7299937	15510389.9175028	2200519.97794679	NA	4122661.48058532	10794840.9806121	NA	6522128.72769989	4362786.7266414	NA	10747198.1407822	NA	NA	NA	15506647.2666489	10352722.6522792	6232663.92673023	NA	NA	7339589.444099	NA	917244.751949387	1733550.35010992	11299014.1818178	NA	3703919.44891093	NA	NA	NA	14512757.6175521	15544157.6340239	6448068.02745	NA	1422042.13832049	8112384.86373031	20072212.7828365	2197168.16075821	NA	NA	5213592.34885608	NA	14481525.5661254	NA	19039886.2316211	NA	4163247.03519912	NA	NA	NA	19999035.2199184	NA	6809580.49308644	17246035.1015895	17914244.4145507	NA	17775977.9857527	NA	10047562.8489685	20094502.9355421	NA	NA	NA	NA	18711656.5925639	NA	6345364.01704471	18324332.1885953	NA	17443319.9929415	NA	3983345.68143076	1785859.43479155	NA	9712467.65845802	18282203.2897292	11887636.2150208	2667957.60785116	15866113.4539041	NA	16652667.3948506	NA	11656893.7511294	18800136.9870227	NA	14994079.8782245	14634491.4787183	15437877.5626763	NA	NA	NA	NA	11768096.1120589	4013885.7344775	NA	NA	12691082.5033708	14564115.2805971	12849767.628589	NA	19202721.2153161	3945732.59733067	NA	NA	1095489.02884029	NA	NA	3104949.38849857	NA	NA	17119908.9179416	19380898.8067542	9406792.82018299	6269069.1733016	NA	NA	11251697.1176033	NA	NA	34032.6786755114	10992783.7567425	NA	20346226.0399941	NA	6306705.19807303	10205022.3113614	5721564.93636981	18331939.0268487	1161693.40330338	12782213.6422014	NA	815498.068464457	7819454.22743763	7023098.14828321	NA	NA	2489729.87146504	NA	830589.061629884	NA	NA	2507006.12417499	15183508.6864726	139764.695909651	NA	NA	31977.1450347867	16409231.6828679	NA	NA	NA	4118728.77571499	NA	NA	NA	NA	NA	NA
"B7ZMD7"	NA	NA	NA	NA	NA	NA	NA	NA	11478479.4296647	7154282.5524853	NA	NA	9676292.83691657	17225489.2869171	9452552.39791843	14098112.3015589	4187315.42064876	NA	8543531.06058275	15432415.2084825	NA	NA	9330093.95224548	NA	9087736.07113692	NA	12687789.5201296	5070528.76919746	NA	NA	NA	NA	NA	NA	NA	NA	NA	2691977.52334055	18788436.5070715	17384109.4730476	NA	6201244.28618394	NA	NA	4705269.55089039	NA	9657846.74796422	NA	6363125.24059087	NA	NA	NA	10624931.6763134	7109674.95714475	NA	11889208.8715601	NA	NA	1693600.16310863	NA	18072635.6888505	11736704.5751436	NA	NA	NA	NA	7465939.40041041	4503594.10721425	4317954.04053615	11971411.5734325	NA	NA	8741561.29296678	NA	NA	3825581.19518932	NA	NA	NA	13720619.405187	NA	NA	NA	NA	NA	11806051.4409018	11121748.9257947	9733952.67021102	7856108.45238418	1504052.94464153	NA	20345689.5442482	NA	NA	20241483.5360941	20120519.2033551	11676324.4045883	NA	NA	NA	NA	9923571.584819	13460622.5080248	11699066.5137393	NA	830716.194157639	NA	1953856.60724818	695582.116316494	12425581.2869079	14922764.9208037	NA	12906636.525018	11583308.0526831	NA	NA	NA	NA	NA	19313338.7199848	3038781.05006619	4845893.90097525	5813578.2989024	NA	NA	NA	NA	NA	NA	15999028.5202443	NA	NA	19414052.4974821	NA	13531288.5313834	NA	12744073.9171844	16503163.2490734	NA	NA	2552004.88151648	NA	10530424.4995896	NA	NA	NA	8217843.25837917	5093407.11862251	NA	NA	6462825.18412117	194527.185701217	11819385.3147351	17298728.4151549	NA	12617993.89563	2747567.01933767	8839889.31202167	13930181.6289741	NA	2709611.13851014	NA	NA	8040280.35892264	NA	9794203.85718673	NA	NA	14123600.1678145	11080192.8251805	5615405.34042496	19788139.4678967	15652982.5353143	NA	13936550.432333	NA	18462790.7413522	NA	13759268.0457526	7888286.88620847	NA	18024795.7381663	375536.386886928	8398063.1548609	NA	NA	8751723.75817242	14239956.9088265	4580037.31585922	15945090.6764482	2393633.49293862	NA	3186488.83325948	1818111.0113371	2862112.32763386	NA	18860419.0994129	884916.839737017	NA	NA
"H6VRF8"	13855145.9907227	20437597.5966797	NA	NA	NA	372.899322509766	NA	15323656.3930755	4047622.28765981	9005947.38152549	NA	NA	NA	7532129.01880177	NA	5733964.17175414	NA	10003570.9972353	19693861.3362412	NA	NA	7267360.17649067	NA	NA	14945665.4638174	NA	NA	6852513.57644898	NA	6244990.61420431	NA	1302490.15817221	NA	NA	NA	4222946.11858788	NA	18317744.8421514	NA	NA	NA	NA	4975363.29846521	NA	19152203.0970929	13285225.2107983	NA	13626114.721911	NA	NA	NA	NA	18321963.1038953	8284299.86126485	2632503.21189779	NA	9260190.67171006	NA	NA	18140385.3395121	12295768.8690415	6870752.41420868	NA	NA	NA	4249943.17266785	15886278.180295	NA	NA	18792506.7655586	2517995.78592571	7239560.74613978	14990904.9959006	9134043.51264638	NA	5080286.8152542	NA	318116.685938191	NA	9460462.13773465	12246495.6093848	NA	2543104.77659672	NA	NA	NA	18524291.3264921	18376940.0064042	12594854.6573339	NA	15205923.3259865	NA	19402538.226689	NA	NA	10437635.6700365	670005.442396698	NA	NA	3064058.66252309	2765029.97132996	13624876.9677673	7226885.78015992	11817175.5061502	3040024.10992416	14372974.3587977	NA	NA	8410433.01133942	15550202.9077739	NA	NA	8987285.68547532	NA	NA	12538827.9419291	NA	11762271.0230724	15348598.9365897	20394520.2074057	6238497.48582567	NA	7803402.14814621	NA	10700689.2915035	2133240.80376652	NA	19254817.7430908	4173535.94295174	NA	10443383.5002095	14641632.603737	NA	NA	9730075.41600304	14210585.7165321	3952123.08036155	NA	13493411.3369158	1296041.92137072	19517288.6067902	NA	NA	9753795.99879571	15224327.5687941	5459472.25827416	3609917.01454153	3744778.94492872	NA	19690683.7463376	2418016.18604717	NA	13191605.8918264	NA	5859028.78428193	NA	1311044.77306025	NA	3680562.010141	3866184.95102028	NA	NA	NA	2088635.76849258	NA	NA	14109753.3289593	18988647.8543569	463155.456923711	NA	NA	NA	NA	NA	NA	NA	3119400.28887276	NA	NA	6970559.63309571	13594951.2878833	15262969.9709816	NA	11381229.5317517	19385107.0042956	NA	NA	3834048.36334073	NA	NA	NA	NA	14371854.3296507	14818881.7142098	NA	3762156.45826638	NA	NA	12073431.1942805	NA
"P19961"	NA	26260.3672281901	3714.54256184896	NA	2719.05499776204	1210.7326965332	NA	NA	NA	NA	NA	2256372.52316853	NA	NA	15332364.0028743	NA	9543138.24255862	NA	1154071.31885399	17703540.2487787	NA	NA	NA	11544411.4377834	NA	NA	NA	17240285.2347836	NA	NA	7602256.64777774	13403177.9725265	16173068.0019128	NA	670174.66375209	15473671.3006947	NA	17687693.3364622	NA	6573948.16395145	9940177.27613812	16425734.3576772	18336802.4967586	NA	NA	NA	NA	4667001.00408236	NA	612250.11100367	9046439.0939946	NA	565843.435982443	NA	11282549.6748419	NA	NA	1310258.91826017	NA	NA	14840740.5861009	3943970.94791775	NA	NA	4171486.15280621	9887118.52495876	NA	NA	NA	126801.969876236	10065736.6334368	11767092.0805774	4083161.65593597	NA	19742739.6461405	7479928.23731032	NA	NA	19834838.9707614	18794716.1982229	5623762.34481734	NA	NA	NA	NA	NA	NA	18741618.9032896	NA	NA	16833535.663893	NA	NA	NA	NA	NA	NA	19256447.5395557	NA	14927110.5482412	NA	NA	NA	1777667.23111908	9849967.1664803	NA	5035978.11007097	NA	NA	9311122.58806234	7384835.89502388	8324802.58487552	4924850.79525798	11833424.696296	14761990.5528147	6396224.75117284	10056234.893827	14332437.6500647	NA	NA	NA	10145540.029451	4582642.55005039	12430027.9846336	NA	16029211.5486841	16828040.1097274	8357181.03699047	NA	13044016.6901576	NA	NA	NA	17646082.5608192	5220187.24702067	7066823.79115562	11608919.0257854	18204254.209926	NA	NA	4753141.49289047	NA	8479247.88764006	NA	4004537.73686115	NA	10098280.942656	7201699.64963761	NA	NA	5892177.27874085	NA	16454766.2792839	6712506.3023482	5498329.76791831	NA	NA	NA	10076324.6359617	3832444.67670025	5317913.54097423	NA	20159620.8567505	5841762.16275199	7322101.69562499	NA	NA	NA	NA	13497544.4930993	NA	3221395.95073287	16734810.7964438	NA	NA	NA	19401135.6718254	16897172.091678	NA	NA	NA	NA	NA	NA	18074175.3976179	NA	3451925.92433617	14431092.1918175	NA	NA	9984305.89157903	NA	NA	NA	17113815.9784159	6879044.0607664	5125243.27439457	12585841.5002528	NA	14009476.6328734
"P35527"	NA	459357.329803467	1514.40832519531	NA	NA	NA	9052658.46179181	6695735.81030917	NA	NA	NA	NA	11946950.408096	NA	12647492.0776975	NA	NA	NA	20087701.4666486	3906776.41567635	NA	11400141.1673917	11743860.7322264	6794597.62228863	NA	11538129.2103578	9130841.02157426	NA	8205471.26533947	NA	14915136.0126823	NA	NA	NA	NA	15334089.7209433	NA	NA	NA	12610015.3052488	NA	14107631.9854275	10502963.1360289	1520564.42265388	8098024.95040793	18790344.8701909	NA	NA	13084887.7112337	17341665.3671683	19004794.3563285	5078366.63205025	NA	14800305.5472255	NA	NA	NA	10028925.7305096	NA	NA	NA	16989007.6152332	16811551.1821904	10920837.0671941	NA	NA	18051890.0224345	4413752.98024413	NA	NA	11921010.5901535	NA	NA	NA	NA	9156856.02362948	5220325.95219159	NA	14673580.9551425	18436180.3810528	NA	NA	NA	13107237.8589578	NA	9140164.57483702	13241352.7685666	NA	13944847.2513673	NA	NA	NA	9917443.69419788	NA	NA	732652.461534292	NA	15643478.5592151	16462416.1533041	NA	NA	2461773.05411878	16811926.4841503	NA	13651940.4693757	10879594.8174239	NA	NA	7293040.85668584	15740356.8525134	15657294.7200972	13352478.2608787	NA	NA	13175654.8875816	NA	3592883.50182881	NA	NA	NA	NA	NA	NA	18551755.0502629	NA	9656417.79776689	16625394.6244506	NA	4511024.85761385	14070638.1995255	6875664.82992761	NA	NA	14482466.557156	NA	595660.455789596	NA	NA	NA	NA	NA	19415205.493435	201833.411224565	NA	NA	17372772.1704285	835774.338575986	NA	16665754.5030057	NA	14768898.6118426	2233691.16087719	16124850.0654813	14053475.322554	NA	NA	NA	19322321.9319	19818537.0518084	18174996.9929397	16362202.7260766	NA	4536833.52210615	12991645.1503191	NA	11950501.7867604	19557.195951566	NA	NA	NA	15631901.2955558	3255981.57523025	NA	437748.270834643	823259.115043137	7340294.38556667	14473189.3182583	8358620.27028068	11489046.2664344	NA	NA	9693958.47195288	NA	NA	NA	NA	12098123.3461485	9007541.20857854	NA	12113798.2296017	14168540.8240157	16020625.4088121	240649.241271061	NA	NA	3400106.67366564	19741481.5780109	NA	NA	13174335.0400005
"P13645"	78118.3826904297	NA	NA	46217.7945429484	NA	NA	3160456.74347334	3480590.16708092	NA	NA	8059159.94138646	19458885.8735682	15595748.3154749	NA	11012120.8630829	18316130.5345654	8190213.84880968	NA	19987220.9121722	6016742.35470022	5714922.77690097	NA	18760160.3333104	9933672.38477678	NA	5436783.83438641	20305379.0302492	NA	NA	8620613.76244945	18696473.4512756	NA	11497266.8830395	159676.137493634	NA	2119494.26908293	NA	NA	5248813.06497365	NA	9154198.72681952	NA	5551093.79737596	NA	NA	NA	14783681.7260666	19430153.1133526	1613479.59958413	NA	4376013.37746126	NA	NA	NA	3524007.29337448	19155001.7876196	NA	NA	14243128.3174541	NA	NA	19774561.2837652	1352635.84380385	15281806.4082335	NA	NA	15183458.9317205	7234598.98965729	NA	19500559.5040811	NA	NA	785026.647092218	12178620.5440096	2439455.36880085	NA	NA	NA	5272604.15428516	NA	5878389.89243655	8467968.70995366	NA	16626144.1244012	5086494.44386115	20165330.4952977	17779189.2181675	NA	NA	9489236.93443446	11808509.7948395	15552177.9991725	13370577.6559018	NA	210805.992677256	NA	7108446.19654365	10427169.1802648	9646857.23848512	18230399.4898697	3097215.78412102	NA	NA	12155215.5346337	NA	3573214.14832917	15684269.0190868	NA	2227323.66134405	NA	NA	14787502.2448204	19386866.8074151	6611741.17600526	9557373.24556721	NA	3070440.87530157	20395460.1848783	15405748.5885777	6124970.89370538	2469370.51815051	NA	NA	7986232.96045396	NA	186906.761964182	20306199.9788993	8409244.48375559	7872175.97772812	11579199.7548418	NA	NA	NA	1224674.10190513	17034616.2204152	1593671.56470602	NA	NA	NA	12268109.3144496	17772838.4304448	5618339.99999188	NA	NA	4746219.26308491	11427227.5478111	NA	NA	NA	3647048.00669073	18660352.0152126	1393817.50374448	NA	NA	NA	2109373.47395796	NA	NA	8915115.76573113	NA	11516974.6708479	10282583.2222526	11219831.0404577	6813061.18916794	NA	16067314.2193539	NA	NA	18306740.7526646	NA	NA	NA	NA	6976489.3374441	10079878.5937267	6544585.6987243	8374112.52295889	NA	5315911.07875178	NA	19908835.9929229	NA	NA	NA	14080853.1175459	9958546.32516741	NA	16429001.2644034	NA	NA	3049968.50313513	NA	3365067.53193869	NA	NA	NA	16939773.1705642	18296110.7326894	NA	NA
"P01040"	NA	NA	NA	NA	NA	892.80298614502	532869.435283775	62389.3470220683	NA	20423335.6606282	15497651.4685326	4802731.66309915	NA	9072889.11703598	NA	NA	NA	NA	NA	3894252.48886869	NA	13487245.2689443	11935563.4601701	1765785.95241078	NA	NA	NA	NA	15926214.6057486	NA	3687056.23773041	4635872.36887854	8454453.26172983	17902579.9182868	NA	18030453.756634	NA	4848283.09980467	7448251.76212492	20229995.7843554	NA	NA	NA	NA	4265779.45928041	NA	9952762.06400915	NA	13400535.5697844	18065072.871371	NA	17926601.8561337	NA	NA	18112217.164398	NA	10255044.1716145	NA	NA	15680253.3594927	19481767.1732559	NA	NA	14734142.4098207	2091579.16464373	NA	14502585.0072497	11245496.7742417	19893965.6508528	15500175.1660294	NA	8146746.34440213	5985948.40776004	NA	9724688.80742355	12237675.3423791	NA	17783549.0687262	13713546.5977826	1349781.56937715	52069.0142137422	19807467.418906	4535784.75131912	17241604.0212219	7761854.26068252	10235510.5492307	2348103.26005627	NA	8363542.1601495	19989519.6235911	12777538.7987616	4831655.42902881	9507431.31839792	6664189.33701988	NA	NA	10092614.3398756	NA	NA	7513710.92879367	NA	10072772.6577278	NA	NA	NA	15174741.2529608	6923895.24311507	NA	NA	771096.092155108	2622208.47975568	13923514.0353861	NA	19541955.0437883	47404.8440628254	NA	3395967.03642138	NA	NA	19011339.2618167	3455654.54716696	NA	NA	8367853.41702719	2255059.7324253	11558303.2776609	11728345.8862465	4237732.5542366	173559.354990683	NA	NA	NA	NA	NA	NA	10646732.5993358	NA	4150849.17501787	NA	NA	15398965.2447657	315754.658076084	2389413.14221844	NA	NA	NA	7132399.98808179	15274529.9898799	8376725.78471956	NA	17365471.8406719	15821667.9850131	15808742.246708	NA	NA	NA	8640922.75668395	NA	NA	NA	NA	NA	6484365.48474792	12751575.9782873	17666042.439054	NA	2806861.62647565	NA	NA	NA	NA	NA	11345492.7766288	NA	15888108.0521525	2081254.62533189	NA	9722894.45768009	NA	NA	10690073.0996948	12830041.1208883	924997.147596621	NA	904682.857164818	NA	NA	3161294.24214524	NA	8929271.87300629	NA	NA	13917770.2356525	19219720.2242313	NA	NA	NA	6651163.30406019	10963448.3720713	NA
"P02768"	NA	NA	NA	NA	NA	NA	7876868.74639278	3531248.86531941	339677.471856402	NA	12327674.4273632	14801318.8434835	NA	NA	9663680.06437676	19624893.0795922	9951135.45097279	12490848.5960931	NA	18230285.3480146	7215096.59247269	17801206.4097176	NA	NA	NA	NA	18083623.4043796	3477258.75428949	NA	NA	9909156.34931345	14287802.7314852	NA	NA	NA	6710735.38340036	NA	9556809.13631467	NA	1636809.51050014	NA	NA	NA	NA	16723153.2761235	7800424.23868055	NA	NA	5097446.97037039	18396301.1050418	NA	NA	2590367.61783884	2300642.98914104	17257622.2486286	7674802.61656452	10450039.4450185	NA	1864105.34432666	8726107.05585036	NA	3096148.41716232	17167287.8377435	NA	8665200.41568368	16492388.0619003	20088750.1993678	NA	NA	NA	9855103.85926245	6595081.5948079	NA	14111822.1578159	19729916.3295342	NA	NA	19562712.2828476	NA	NA	4131372.34994856	10894073.8214291	16882686.7255742	NA	NA	14046291.3235572	18905575.1438215	15115848.0433317	8732241.94620754	NA	5171447.0569983	3987519.67495943	NA	NA	NA	NA	8042243.11632001	5615063.32408958	17817266.3595484	NA	7560696.48341464	15834645.6336654	NA	14483952.7900336	4008696.82204646	12838924.6519938	NA	17078244.3999335	NA	16237097.8519806	NA	15496088.771509	4286167.74420286	NA	NA	NA	15553139.2756381	NA	15906404.8958827	16670351.1597268	5677395.59778735	9130540.77524781	NA	5134864.20937392	3063603.23713976	NA	NA	3488473.27363899	NA	NA	NA	NA	19184262.2974797	NA	5764854.96820352	5116183.34137501	8305142.20588452	10163953.3562125	NA	4917254.3114748	12743765.5623942	6126882.62107589	NA	NA	NA	19958873.4848096	NA	562249.911388558	17588397.0126548	NA	2193032.57298735	42049.9460483279	NA	16144946.1744731	12316777.6037162	11143551.9377934	NA	NA	NA	644789.271538724	14424704.9398001	1607752.16904979	NA	NA	NA	4660527.73763323	7965102.1800754	NA	NA	NA	17973865.1351567	9942497.37696118	NA	NA	5242895.27112109	13242818.3162963	7194278.24015023	5973834.45801544	NA	9267690.69142158	12978979.1636064	NA	NA	NA	NA	10379435.4342774	NA	2952769.57814715	5767150.97204262	12577835.5390478	NA	NA	NA	4117012.23201119	17042694.2489232	NA	9401686.49607218	15914408.6729416	14255420.2346553	NA
"P35908"	1462.65753173828	NA	NA	NA	NA	174.791468302409	9172151.12262688	8734610.39802864	NA	NA	4643174.68768312	NA	NA	NA	17138249.2875628	NA	17393552.1407855	7531790.67126075	NA	NA	3491401.47117901	NA	4488731.35017418	NA	NA	NA	18903905.9327993	2338398.30921025	6338411.17112643	17915479.6419372	1726405.67050059	NA	NA	5461260.43625849	17097759.2881495	NA	NA	NA	NA	NA	7474012.04706826	10965048.4041929	16838129.0896006	13436751.0288146	19708609.9561847	1823699.40360636	NA	NA	NA	7017764.87759733	NA	1002312.05416779	NA	NA	NA	NA	4665969.80639205	11534529.3236652	NA	NA	NA	NA	18200890.3585209	NA	1383165.68513504	NA	NA	NA	NA	NA	NA	15473300.914253	NA	NA	260719.15002723	NA	NA	NA	NA	NA	16809552.4744151	NA	NA	1871517.35104146	18335352.4854927	NA	15479798.5489199	NA	NA	12122614.5803716	NA	17166169.2789694	14215353.645517	4625334.76826003	NA	2137676.73303359	15334819.8538472	18487021.0581534	18935462.9604153	2695100.28118533	NA	NA	3416270.25860975	NA	2671745.66895736	NA	15309664.3013697	NA	NA	NA	NA	16505205.0402004	9082752.10203177	NA	12750662.3533221	NA	2974180.74292263	6034281.52815561	NA	19339260.6840798	NA	NA	4014393.13206834	NA	5754998.1359329	NA	NA	338848.50039525	NA	NA	14693362.8706792	NA	1115746.31258412	20316399.1272901	NA	NA	98312.0210352414	NA	NA	NA	14379088.8828256	18976521.0424188	10801414.9652212	NA	16637186.7195741	NA	NA	NA	4623502.54570943	8192799.28293168	9147077.34952663	4364623.93132908	19677696.180996	NA	5423967.48896529	NA	16438920.9420269	3741689.71063292	NA	52155.2618113599	10448671.3225752	NA	16814182.5642739	9789831.15871013	5117753.68528907	10848985.8519519	NA	2416437.06748097	NA	7636019.17754682	NA	1210234.91692875	3264986.19558361	NA	NA	NA	11940951.9531109	18616427.362849	NA	6709949.21454007	NA	NA	16999491.2070112	16113614.8038819	1697499.08271314	870716.535623976	15525968.3035749	NA	8059029.62543014	7810318.59163019	NA	15760260.804237	19263401.9986015	977354.645136624	NA	NA	14073970.8733162	11800089.6833773	NA	NA
"B2RBS8"	494651.49432373	365471.379394531	660755.929046631	87281.6350402832	180.653813680013	NA	5560620.82835026	19542126.0828862	NA	NA	8282612.78211963	13677712.2793773	18177001.3918668	8047606.13707378	967829.955338487	NA	NA	NA	13168845.0723	NA	1097217.75903223	NA	3176750.01149485	NA	5226495.49861793	10260629.2377006	NA	NA	NA	9832810.45175103	18088517.0478628	NA	NA	NA	13006228.1177733	12803273.5686915	NA	4486805.39492412	NA	19316465.8508801	NA	NA	1855820.7022635	NA	14021724.4579235	5558085.45352354	NA	7513491.80041461	14855004.6920229	19343236.0107284	NA	7549842.25775348	14908355.562031	NA	10672587.7352234	16002001.1906145	NA	NA	3982702.65741083	4300044.13326942	9794010.14865135	15696296.4309661	10652997.7818569	13911009.2043914	19548881.2945164	6628653.77553423	8231806.10917532	NA	9822765.81622882	17344417.462579	11122333.1396597	NA	11892850.6948087	9693979.2142027	12295361.8660336	7337403.25664929	15051955.1473112	NA	NA	8190220.63441377	2741460.41819251	18038721.8629509	NA	NA	NA	5757083.19599256	NA	NA	NA	NA	NA	17374132.2462684	6478359.41618179	19867116.4477579	8700401.57441498	10314900.7799948	NA	NA	13538610.7834948	17550704.9471685	18246812.0198795	10568973.7115453	NA	4070179.82933114	NA	NA	17583248.509305	15402458.6840784	20245755.6258559	3567859.63575222	NA	3596478.31597298	NA	18843166.9912718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16593460.2582417	NA	17140149.4137392	11710119.8345444	NA	NA	13240183.3748636	18140248.3807064	NA	15111467.3220441	8135471.01157415	13847145.0163298	11105822.9559561	NA	NA	NA	NA	NA	NA	15421765.6977398	NA	2722206.2713344	NA	18455187.3863121	13128301.7064421	18216284.0010493	9970834.01683114	10079596.6199947	NA	NA	17909484.7320258	NA	NA	NA	NA	NA	2999209.38176284	NA	NA	16348283.1013868	6840880.50999927	8381845.49445752	13747102.5663398	16381619.9701159	9772709.19521978	15781251.4709322	3747964.30068504	2075627.50848611	19205658.9726588	20256496.8754915	NA	9474596.46540957	NA	1821688.05252806	20219779.2056225	NA	NA	6704440.84576594	NA	12849042.534924	7460223.18087413	NA	NA	15049297.7125051	16758510.0612096	NA	13533001.0589232	NA	512539.798727707	NA	8028261.87872568	3613724.10960031	14385924.0560906	132486.212372185	16169614.9574059	NA
