"Accession","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100"
"P04745",36164.7425130208,20378.7887369792,19579.1966145833,NA,153.924723969922,2015.13118489583,591.263880411784,452.369662847367,96.5231272379557,143.466283162435,500.028564453125,NA,518.209895650146,NA,174.705096716953,458.358008801712,397.666782627651,243.933649673543,NA,246.499277577266,37.2525851911739,147.41623663001,NA,NA,NA,245.413519755904,48.5739970567139,NA,NA,NA,278.870228255741,NA,229.061079335672,NA,83.3889103037947,NA,4141.59130859375,62.2519044827383,98.1775867682954,NA,NA,260.473629079896,NA,NA,NA,89.1310573013042,NA,NA,380.911212029141,333.891313044361,254.689571816201,1638.35095214844,NA,1564.05688476563,NA,185.218886213388,444.175450916214,23256.3088378906,31046.845703125,24605.3959960938,2726.06976318359,2814.99458312988,2535.04445648193,1325.38781738281,1524.0263671875,1888.48913574219,30869.9114990234,3802.4486618042,1768.24816894531,397.631011962891,38467.79296875,489.859089361621,27117.68359375,NA,3373.35815429688,112.619783046166,242.375404446462,NA,670.59814453125,504.718949317056,NA,NA,NA,NA,NA,293.027793803987,251.657387445713,184.567553513519,NA,144.651412394088,NA,7683.52845001221,913.042175292969,NA,NA,NA,423.277238789522,480.715771802227,245.672439575195,NA
"B7ZMD7",9409.04085286458,2564.65462239583,11163.2221679688,92742.4159342448,75504.7776692708,69845.6512451172,437.989037185475,644.592936197917,158.417826334635,302.529667762751,NA,NA,406.490803974886,362.164773745724,2302.59741210938,7680.85995483398,42.0851323068727,2188.82220458984,190.483459472656,NA,NA,11403.5556640625,NA,14.9093886086783,250.878586152886,NA,NA,NA,156.972210225842,337.763802396968,NA,576.442749023438,838.825988769531,2846.79321289063,3569.22265625,3665.80517578125,NA,NA,6041.7041015625,168.249545482151,NA,NA,NA,422.146042225356,NA,1.76216116149754,NA,NA,NA,NA,508.486877441406,475375.61328125,457766.3359375,411076.30859375,3777.31372070313,3361.24560546875,3731.33178710938,49073.5858764648,45806.0965881348,45621.0446777344,3361.66381835938,6539.65538024902,4469.51867675781,2703.39967346191,3018.81254577637,3386.01205444336,256227.224273682,39680.0321655273,26148.5856018066,5327.19492721558,NA,NA,452.782994080891,288.550672661446,420.608502880893,152.011604763573,260.084756706522,71.1439315740175,462.208678965015,482.106759734051,NA,NA,NA,NA,NA,NA,NA,NA,240.674975226936,320.461522575429,NA,62.1175878252638,189.982515300468,NA,69.5563079516792,3.99110510604489,NA,470.5698928292,NA,436.80571308256
"H6VRF8",597164.628011068,53611.2841796875,39914.6357421875,37792.9807942708,9397.28971354167,12515.900390625,230.273770650228,NA,218.505432128906,136.607309977214,NA,366.35983436128,402.512573242188,261.938544012738,420.214172363281,NA,31.9698470596539,NA,317.294921875,NA,NA,NA,NA,NA,346.253477378094,540.261535644531,61.3585900545112,165.003448048705,NA,467.393599567599,NA,229.396710137464,45.4868839085875,NA,NA,346.258008907849,262.920596572048,NA,NA,13.7332044819796,389.601636695145,NA,23.6107852575936,404.101765221902,50.6660748363799,NA,516.629702705476,1214.09606933594,NA,NA,987600.587392171,1371307.89937337,1631334.47066243,1502129.95707194,209283.282531738,206346.644032796,237868.380711873,658935.516011556,707505.661397298,612459.311604818,197022.45783488,187229.077514648,185085.469431559,62710.0458323161,65807.1745096842,77653.1227060954,5190.18079630534,251943.568517049,373453.725580851,1047.75843556722,729175.434041341,711241.576497396,755718.216308594,5014.22884114583,2113.37613932292,2011.45166015625,255207.882985433,224130.851999919,214661.68741862,9607.75151570638,11272.5456339518,12316.241414388,4760.6291402181,3828.2969156901,402.273579915365,189152.127146403,195602.583989461,200292.986582438,78533.4064025879,79322.0555318197,80075.5131530762,2686.66581726074,2406.30738067627,25647.046391805,57313.0883433024,60833.7395019531,61719.8336079915,4992.20189158122,1867.29077148438,449.389134724935
"P19961",4115.53100585938,7102.85803222656,8042.43082682292,11195.3905436198,12463.9503173828,16082.4084472656,421.625338236491,24.5877329508464,96.8376159667969,286.294587453206,NA,241.954777961966,233.549194335938,192.407553107719,24.9171180725098,NA,381.248596479577,423.221702588659,NA,NA,173.497951433301,482.965833597645,425.635242923529,154.385406379367,248.550881412493,NA,NA,NA,226.420769236484,NA,309.469800890748,65.7944061756471,NA,NA,364.120287801362,142.781641954117,NA,184.789364893784,NA,440.023974581201,NA,386.03558382772,NA,NA,125.236823932413,234.532001999336,NA,NA,98.2096422310476,13416.5908203125,343.052877142406,228814.067342122,266596.663777669,267141.683268229,1822.4018758138,2172.8346303304,2045.52699788411,20088.3522949219,21289.5938110352,17159.407602946,1841.08451334635,2133.99768066406,2027.64656575521,2304.83336385091,2874.40353902181,3083.27587890625,1730.91610336304,691.217427571615,2234.63949584961,4779.88658396403,198832.125,188233.9375,133498.203125,NA,56.3370764657516,668.422607421875,300653.721191406,183546.447021484,131838.248046875,48.0690713869559,NA,125.49845390809,NA,NA,335.471834087131,2717.19244384766,1433.28344726563,1332.16461181641,983.519195556641,920.107025146484,1278.31607055664,79753.123626709,1267.83850097656,257.676635742188,196.382837979323,95.8646055360478,444.063345931311,363.766721615554,NA,NA
"P35527",144533.137369792,110654.874348958,73610.8289388021,3804.31575520833,4834.818359375,329.116711853345,50.804936726888,420.730433146159,1331.55764261882,232.100931803385,NA,NA,346.75502173733,304.162059287698,14.394600268878,NA,441.433169113508,NA,NA,302.537213050859,57.2938171824659,310.264826398633,NA,NA,88.3944380962546,103.791279910348,325.951239535767,454.907364047723,NA,NA,446.654785751901,22.006335322059,NA,NA,316.9634013849,NA,NA,NA,NA,NA,NA,14.3649183435447,NA,304.359300101967,NA,NA,102.937518912304,NA,14.0292607952826,109.292750552465,284.553894042969,38454.03125,39549.9420166016,38282.765625,2255.5947265625,2273.28329467773,2546.5378112793,21306.5137939453,27456.1070556641,21745.4206542969,7104.3576965332,8137.34909057617,8070.86560058594,1700.41394042969,2082.24853515625,2327.7333984375,NA,159.234680175781,637.473541259766,NA,178123.774312337,157733.736490885,160471.954884847,432.933166503906,212.218770345052,3931.00765991211,484135.025634766,336176.525960286,309933.937845866,115403.613464355,144711.109232585,142713.516377767,35737.4455871582,33656.4420776367,30045.1629130046,445095.688456217,422861.124399821,408145.778340658,66122.7081095378,64946.3379516602,64286.3203735352,4607.02391560872,8728.41982777913,18192.3645528158,576912.58186849,584759.298482259,564654.332244873,4198.92854817708,7195.83357747396,9497.29399617513
"P13645",62661.8544108073,85856.0748697917,84322.8678385417,23734.8053385417,28264.3170572917,34264.9637044271,366.530329386393,2950.1337890625,5828.36541748047,171.057006835938,NA,237.495608783831,NA,10084.359375,NA,NA,7316.2783203125,NA,NA,12.213164953453,NA,344.803946506489,7073.48095703125,75.7723613701136,135.573196411133,775362.6875,906272.8125,621953.75,NA,128.617099207945,77.4544491675839,NA,NA,NA,NA,NA,NA,NA,365.663188663323,359.405975341797,338.307830810547,364.143951416016,NA,124.725816284813,502.026246392865,361.346392034196,NA,NA,476.480765152196,NA,7042.2582804362,5978292.37463379,6857794.5916748,6407593.77416992,45470.883682251,49707.0724894206,52347.8004964193,454323.697530111,496953.351033529,393360.180892944,232769.682291667,236207.006047567,218735.632212321,49416.5553181966,50479.760172526,60666.2394205729,1000.2173538208,35345.4183197021,83864.1903839111,56.064936319987,714246.989440918,691030.888305664,699697.544169108,854.077952067057,981.053410847982,758.768529256185,34324.9744466146,36471.0221354167,26483.5323893229,3730.56103515625,1382.0009765625,1680.88875325521,153419.197530111,203813.424880981,83849.2421213786,23963.7905578613,25502.1280466716,23337.2203063965,43288.861211141,48019.3527832031,46190.1806030273,1528.62956746419,3783.85474650065,1437.4434000651,29757.934000651,29993.2789611816,28348.4044189453,278.414245605469,193.438179016113,1190.81518554688
"P01040",165714.645833333,151721.936848958,93938.046875,31685.611735026,50205.0623372396,9739.84497070313,343.539505004883,74.5162963867188,289.894315083822,630.47652943929,NA,103.216754358524,87.3951169993078,337.08404291946,NA,157.61153472888,71.6309425549925,1.29803947067513,244.92166742181,112.366536333974,68.2059774378169,50.2827568939576,NA,500.680279668454,473.249659538769,277.177327743932,NA,188.966021880562,299.374184707104,180.611008840525,NA,NA,251.012917454356,656.253173828125,465.109436035156,678.334167480469,8530.4521484375,5468.2939453125,7520.35888671875,NA,NA,228.423868892986,NA,229.154314988556,NA,388.283207579527,30201.134765625,15417.58984375,NA,490.741367542794,463.988226784307,152.774469880247,NA,375.657344351998,374.709717888265,175.56547667966,100.886531456135,172.726800478067,144.28705176868,114.17293785119,135.732025237326,144.529819915871,239.550173731643,268.621845917464,133.014200963498,NA,224.893811933184,NA,NA,298.529490641363,2607714.42635091,3211632.04300944,2149335.8269043,28529.0715637207,26387.0844828288,19634.5161234538,1328947.78778076,1260651.79324341,1225850.93764242,92686.9670511882,106750.063145955,103118.453592936,56848.0510559082,51835.2337036133,47917.9219258626,95397.665222168,98364.7023976644,96889.9507039388,22046.6894429525,22110.2982889811,21472.0485229492,15738.270421346,129316.513590495,163341.761711121,65815.2154642741,69321.6966756185,67987.4600321452,12535.6307373047,6653.32436625163,7922.33605957031
"P02768",26125.6289774577,22762.7979939779,26418.4459431966,27997.6104329427,32797.912516276,28746.7431640625,763.630533854167,20.6863543192546,169.969207763672,538.44873046875,NA,NA,37.0051675150944,1097.01403808594,NA,NA,3425.05249023438,128.507288489248,332.851344937581,325.524690947124,89.996673157819,NA,1418.46984863281,257.334920054753,271.715045158275,NA,NA,NA,475.939676318609,NA,998.394592285156,NA,NA,225.317668084189,NA,NA,NA,NA,NA,NA,308.431888873464,NA,186.49943131424,37.2754716977572,NA,555688.9375,493467.5,487699.375,NA,1259.68115234375,58.8284708658854,42802.462890625,45860.608968099,43283.1290690104,3432.74693806966,2992.419921875,3361.10970052083,26601.3457641602,27206.6998494466,21878.1198018392,2941.01157633464,3045.41376749674,2688.68686421712,11682.1014149984,11374.0020395915,13978.2324829102,NA,1441.41865539551,1942.83326212565,NA,361475.766398112,344856.430053711,322791.571980794,8309.57706705729,17251.0298868815,13610.2387695313,113775.351125081,107552.145121257,106564.979975382,303.948094685872,281.442779541016,335.575754801432,5464.86487833659,3592.21199544271,14327.9451497396,NA,252.20958731965,190.742919921875,345.335861179844,NA,216.583301388477,443.89165242513,649.959065755208,1055.56028238932,729.292663574219,1134.77689615885,974.02305094401,211.393147786458,448.232142130534,271.798965454102
"P35908",500085.547526042,468933.156738281,420235.552246094,181.178625331358,55806.4322916667,NA,36.2876412958046,469.134294568993,350.779896500702,NA,NA,344.388754396392,103.896661849303,584.545532226563,490.53725094934,NA,669.815734863281,203.147457987642,NA,NA,238.220934927305,NA,41.6055335998535,NA,386.740510160172,116.574834515781,NA,320.813617584362,NA,NA,NA,498.330102084076,NA,NA,NA,NA,356.149681200359,500.450470367512,NA,NA,351.828459543257,6.22168554727675,408.685514737309,439.843986087252,373.967583585308,165.944670003634,NA,344.599629738097,196.38859427956,497.421134435566,142.661824544271,81185.0846354167,88233.9171549479,98665.0092773438,1041.89647420247,1484.87595621745,1562.73537190755,19584.6837565104,17387.8326822917,14523.7093098958,1688.93186442057,1745.46370442708,1536.25626627604,10216.912109375,10028.4373372396,9981.24281819662,16993.5075162252,2997.21940104167,6877.75227864583,4692.00994364421,89597.2931518555,28828.3501790365,20846.1227620443,2613.35205078125,NA,2261.44840494792,7906.81166585286,7856.33758544922,3499.32998657227,4970.53820800781,6304.89656575521,6891.18634033203,8641.64084879557,7029.57999674479,6752.27545166016,36245.008392334,33701.026936849,30603.5511169434,8402.47198486328,8979.90840657552,7342.43130493164,232.120760408588,1932.89083353678,1658.49761962891,43312.7084960938,38238.3943583171,38031.9139709473,NA,135.635325113932,68.5347058349789
"B2RBS8",7573.22119140625,5676.86352539063,6837.87939453125,10.8347137335466,NA,NA,458.22918085875,NA,NA,492.311673249397,NA,502.933219311428,NA,NA,NA,20.8855096108645,895.583801269531,479.672633452091,417.916513760684,NA,23.613587343656,238.956751738255,NA,NA,NA,471.722625732422,44.3562205794743,227.450119478775,152.471441936156,NA,NA,NA,NA,462.187148782817,307.023344365095,270.311718268976,178.333726037063,229.244329083589,NA,NA,280.748272552822,48.8438712384361,NA,NA,385.71111199208,27.7180568181643,171.334823608398,NA,385.68510667766,NA,NA,18095.4765625,15656.7946777344,20794.0043945313,160.225412054228,NA,NA,9102.44256591797,1880.2096862793,6160.8706817627,5826.7922668457,5146.15198516846,5168.89389038086,4053.38208007813,4085.70068359375,4878.82670593262,340.380187476183,66.8055267333984,318.552024841309,NA,454.742711931259,NA,174.924491838061,258.151983201618,303.146190476532,NA,NA,NA,253.660515058932,367.421441451509,109.206407501206,211.689748479313,458.435714800583,210.336213472091,110.475933782569,NA,NA,NA,16.7460148472365,158.377260628621,NA,NA,341.386581622659,258.046826489725,409.361361605639,NA,NA,NA,315.719875092867,69.5751122934076
