"Accession"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"	"F16"	"F17"	"F18"	"F19"	"F20"	"F21"	"F22"	"F23"	"F24"	"F25"	"F26"	"F27"	"F28"	"F29"	"F30"	"F31"	"F32"	"F33"	"F34"	"F35"	"F36"	"F37"	"F38"	"F39"	"F40"	"F41"	"F42"	"F43"	"F44"	"F45"	"F46"	"F47"	"F48"	"F49"	"F50"	"F51"	"F52"	"F53"	"F54"	"F55"	"F56"	"F57"	"F58"	"F59"	"F60"	"F61"	"F62"	"F63"	"F64"	"F65"	"F66"	"F67"	"F68"	"F69"	"F70"	"F71"	"F72"	"F73"	"F74"	"F75"	"F76"	"F77"	"F78"	"F79"	"F80"	"F81"	"F82"	"F83"	"F84"	"F85"	"F86"	"F87"	"F88"	"F89"	"F90"	"F91"	"F92"	"F93"	"F94"	"F95"	"F96"	"F97"	"F98"	"F99"	"F100"
"P04745"	36164.7425130208	20378.7887369792	19579.1966145833	NA	NA	2015.13118489583	591.263880411784	NA	96.5231272379557	143.466283162435	500.028564453125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4141.59130859375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1638.35095214844	NA	1564.05688476563	NA	NA	NA	23256.3088378906	31046.845703125	24605.3959960938	2726.06976318359	2814.99458312988	2535.04445648193	1325.38781738281	1524.0263671875	1888.48913574219	30869.9114990234	3802.4486618042	1768.24816894531	397.631011962891	38467.79296875	NA	27117.68359375	NA	3373.35815429688	NA	NA	NA	670.59814453125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7683.52845001221	913.042175292969	NA	NA	NA	NA	NA	245.672439575195	NA
"B7ZMD7"	9409.04085286458	2564.65462239583	11163.2221679688	92742.4159342448	75504.7776692708	69845.6512451172	NA	644.592936197917	158.417826334635	NA	NA	NA	NA	NA	2302.59741210938	7680.85995483398	NA	2188.82220458984	190.483459472656	NA	NA	11403.5556640625	NA	NA	NA	NA	NA	NA	NA	NA	NA	576.442749023438	838.825988769531	2846.79321289063	3569.22265625	3665.80517578125	NA	NA	6041.7041015625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	508.486877441406	475375.61328125	457766.3359375	411076.30859375	3777.31372070313	3361.24560546875	3731.33178710938	49073.5858764648	45806.0965881348	45621.0446777344	3361.66381835938	6539.65538024902	4469.51867675781	2703.39967346191	3018.81254577637	3386.01205444336	256227.224273682	39680.0321655273	26148.5856018066	5327.19492721558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"H6VRF8"	597164.628011068	53611.2841796875	39914.6357421875	37792.9807942708	9397.28971354167	12515.900390625	230.273770650228	NA	218.505432128906	136.607309977214	NA	NA	402.512573242188	NA	420.214172363281	NA	NA	NA	317.294921875	NA	NA	NA	NA	NA	NA	540.261535644531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1214.09606933594	NA	NA	987600.587392171	1371307.89937337	1631334.47066243	1502129.95707194	209283.282531738	206346.644032796	237868.380711873	658935.516011556	707505.661397298	612459.311604818	197022.45783488	187229.077514648	185085.469431559	62710.0458323161	65807.1745096842	77653.1227060954	5190.18079630534	251943.568517049	373453.725580851	1047.75843556722	729175.434041341	711241.576497396	755718.216308594	5014.22884114583	2113.37613932292	2011.45166015625	255207.882985433	224130.851999919	214661.68741862	9607.75151570638	11272.5456339518	12316.241414388	4760.6291402181	3828.2969156901	402.273579915365	189152.127146403	195602.583989461	200292.986582438	78533.4064025879	79322.0555318197	80075.5131530762	2686.66581726074	2406.30738067627	25647.046391805	57313.0883433024	60833.7395019531	61719.8336079915	4992.20189158122	1867.29077148438	449.389134724935
"P19961"	4115.53100585938	7102.85803222656	8042.43082682292	11195.3905436198	12463.9503173828	16082.4084472656	421.625338236491	24.5877329508464	96.8376159667969	286.294587453206	NA	NA	233.549194335938	NA	24.9171180725098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13416.5908203125	NA	228814.067342122	266596.663777669	267141.683268229	1822.4018758138	2172.8346303304	2045.52699788411	20088.3522949219	21289.5938110352	17159.407602946	1841.08451334635	2133.99768066406	2027.64656575521	2304.83336385091	2874.40353902181	3083.27587890625	1730.91610336304	691.217427571615	2234.63949584961	4779.88658396403	198832.125	188233.9375	133498.203125	NA	NA	668.422607421875	300653.721191406	183546.447021484	131838.248046875	NA	NA	NA	NA	NA	NA	2717.19244384766	1433.28344726563	1332.16461181641	983.519195556641	920.107025146484	1278.31607055664	79753.123626709	1267.83850097656	257.676635742188	NA	NA	NA	NA	NA	NA
"P35527"	144533.137369792	110654.874348958	73610.8289388021	3804.31575520833	4834.818359375	NA	50.804936726888	420.730433146159	1331.55764261882	232.100931803385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	284.553894042969	38454.03125	39549.9420166016	38282.765625	2255.5947265625	2273.28329467773	2546.5378112793	21306.5137939453	27456.1070556641	21745.4206542969	7104.3576965332	8137.34909057617	8070.86560058594	1700.41394042969	2082.24853515625	2327.7333984375	NA	159.234680175781	637.473541259766	NA	178123.774312337	157733.736490885	160471.954884847	432.933166503906	212.218770345052	3931.00765991211	484135.025634766	336176.525960286	309933.937845866	115403.613464355	144711.109232585	142713.516377767	35737.4455871582	33656.4420776367	30045.1629130046	445095.688456217	422861.124399821	408145.778340658	66122.7081095378	64946.3379516602	64286.3203735352	4607.02391560872	8728.41982777913	18192.3645528158	576912.58186849	584759.298482259	564654.332244873	4198.92854817708	7195.83357747396	9497.29399617513
"P13645"	62661.8544108073	85856.0748697917	84322.8678385417	23734.8053385417	28264.3170572917	34264.9637044271	366.530329386393	2950.1337890625	5828.36541748047	171.057006835938	NA	NA	NA	10084.359375	NA	NA	7316.2783203125	NA	NA	NA	NA	NA	7073.48095703125	NA	135.573196411133	775362.6875	906272.8125	621953.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	359.405975341797	338.307830810547	364.143951416016	NA	NA	NA	NA	NA	NA	NA	NA	7042.2582804362	5978292.37463379	6857794.5916748	6407593.77416992	45470.883682251	49707.0724894206	52347.8004964193	454323.697530111	496953.351033529	393360.180892944	232769.682291667	236207.006047567	218735.632212321	49416.5553181966	50479.760172526	60666.2394205729	1000.2173538208	35345.4183197021	83864.1903839111	56.064936319987	714246.989440918	691030.888305664	699697.544169108	854.077952067057	981.053410847982	758.768529256185	34324.9744466146	36471.0221354167	26483.5323893229	3730.56103515625	1382.0009765625	1680.88875325521	153419.197530111	203813.424880981	83849.2421213786	23963.7905578613	25502.1280466716	23337.2203063965	43288.861211141	48019.3527832031	46190.1806030273	1528.62956746419	3783.85474650065	1437.4434000651	29757.934000651	29993.2789611816	28348.4044189453	278.414245605469	193.438179016113	1190.81518554688
"P01040"	165714.645833333	151721.936848958	93938.046875	31685.611735026	50205.0623372396	9739.84497070313	343.539505004883	74.5162963867188	289.894315083822	630.47652943929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	656.253173828125	465.109436035156	678.334167480469	8530.4521484375	5468.2939453125	7520.35888671875	NA	NA	NA	NA	NA	NA	NA	30201.134765625	15417.58984375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2607714.42635091	3211632.04300944	2149335.8269043	28529.0715637207	26387.0844828288	19634.5161234538	1328947.78778076	1260651.79324341	1225850.93764242	92686.9670511882	106750.063145955	103118.453592936	56848.0510559082	51835.2337036133	47917.9219258626	95397.665222168	98364.7023976644	96889.9507039388	22046.6894429525	22110.2982889811	21472.0485229492	15738.270421346	129316.513590495	163341.761711121	65815.2154642741	69321.6966756185	67987.4600321452	12535.6307373047	6653.32436625163	7922.33605957031
"P02768"	26125.6289774577	22762.7979939779	26418.4459431966	27997.6104329427	32797.912516276	28746.7431640625	763.630533854167	20.6863543192546	169.969207763672	538.44873046875	NA	NA	NA	1097.01403808594	NA	NA	3425.05249023438	NA	NA	NA	NA	NA	1418.46984863281	NA	NA	NA	NA	NA	NA	NA	998.394592285156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	555688.9375	493467.5	487699.375	NA	1259.68115234375	58.8284708658854	42802.462890625	45860.608968099	43283.1290690104	3432.74693806966	2992.419921875	3361.10970052083	26601.3457641602	27206.6998494466	21878.1198018392	2941.01157633464	3045.41376749674	2688.68686421712	11682.1014149984	11374.0020395915	13978.2324829102	NA	1441.41865539551	1942.83326212565	NA	361475.766398112	344856.430053711	322791.571980794	8309.57706705729	17251.0298868815	13610.2387695313	113775.351125081	107552.145121257	106564.979975382	303.948094685872	281.442779541016	335.575754801432	5464.86487833659	3592.21199544271	14327.9451497396	NA	NA	190.742919921875	NA	NA	NA	443.89165242513	649.959065755208	1055.56028238932	729.292663574219	1134.77689615885	974.02305094401	211.393147786458	448.232142130534	271.798965454102
"P35908"	500085.547526042	468933.156738281	420235.552246094	NA	55806.4322916667	NA	NA	NA	NA	NA	NA	NA	NA	584.545532226563	NA	NA	669.815734863281	NA	NA	NA	NA	NA	41.6055335998535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	142.661824544271	81185.0846354167	88233.9171549479	98665.0092773438	1041.89647420247	1484.87595621745	1562.73537190755	19584.6837565104	17387.8326822917	14523.7093098958	1688.93186442057	1745.46370442708	1536.25626627604	10216.912109375	10028.4373372396	9981.24281819662	16993.5075162252	2997.21940104167	6877.75227864583	4692.00994364421	89597.2931518555	28828.3501790365	20846.1227620443	2613.35205078125	NA	2261.44840494792	7906.81166585286	7856.33758544922	3499.32998657227	4970.53820800781	6304.89656575521	6891.18634033203	8641.64084879557	7029.57999674479	6752.27545166016	36245.008392334	33701.026936849	30603.5511169434	8402.47198486328	8979.90840657552	7342.43130493164	NA	1932.89083353678	1658.49761962891	43312.7084960938	38238.3943583171	38031.9139709473	NA	135.635325113932	NA
"B2RBS8"	7573.22119140625	5676.86352539063	6837.87939453125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	895.583801269531	NA	NA	NA	NA	NA	NA	NA	NA	471.722625732422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	171.334823608398	NA	NA	NA	NA	18095.4765625	15656.7946777344	20794.0043945313	NA	NA	NA	9102.44256591797	1880.2096862793	6160.8706817627	5826.7922668457	5146.15198516846	5168.89389038086	4053.38208007813	4085.70068359375	4878.82670593262	NA	66.8055267333984	318.552024841309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
